timestamps,TP9,AF7,AF8,TP10,Right AUX
1738881650.762,-15.625,-46.875,-19.043,0.000,0.000
1738881650.765,-17.578,-46.875,-17.090,-9.766,0.000
1738881650.769,-25.879,-46.387,-23.438,-17.578,0.000
1738881650.773,-28.809,-43.945,-24.902,-17.578,0.000
1738881650.777,-4.883,-44.434,-21.973,-12.695,0.000
1738881650.781,-5.859,-46.387,-25.391,-11.230,0.000
1738881650.785,-22.949,-43.945,-28.320,-22.461,0.000
1738881650.789,-13.672,-37.109,-27.832,-19.043,0.000
1738881650.793,-11.230,-42.969,-27.344,-24.414,0.000
1738881650.797,-13.672,-46.875,-25.391,-23.926,0.000
1738881650.801,-5.371,-38.574,-27.832,-7.812,0.000
1738881650.804,1.465,-40.039,-29.785,-25.391,0.000
1738881650.808,-11.719,-44.434,-28.320,-2.441,0.000
1738881650.812,-19.043,-44.434,-31.738,5.859,0.000
1738881650.816,-18.555,-44.922,-36.133,-20.508,0.000
1738881650.820,-21.484,-48.340,-40.039,-23.926,0.000
1738881650.824,-20.020,-48.828,-35.156,-22.949,0.000
1738881650.828,-7.324,-47.363,-34.180,-15.625,0.000
1738881650.832,-17.090,-43.945,-30.762,-11.719,0.000
1738881650.836,-21.484,-44.922,-27.832,-5.371,0.000
1738881650.840,-13.184,-48.340,-34.668,-5.371,0.000
1738881650.844,-26.855,-47.852,-39.062,-14.160,0.000
1738881650.847,-19.531,-44.922,-40.039,-20.996,0.000
1738881650.851,-20.996,-48.340,-46.387,-19.043,0.000
1738881650.855,-16.602,-49.805,-48.340,-9.277,0.000
1738881650.859,-7.324,-46.875,-48.828,-17.578,0.000
1738881650.863,-2.930,-41.016,-50.781,-27.344,0.000
1738881650.867,3.906,-37.598,-49.805,-11.719,0.000
1738881650.871,-11.719,-40.527,-42.480,-1.465,0.000
1738881650.875,2.441,-39.551,-40.039,-6.836,0.000
1738881650.879,-10.742,-34.180,-41.016,-9.277,0.000
1738881650.883,-37.109,-33.691,-42.480,-9.277,0.000
1738881650.887,-28.809,-38.574,-48.340,-5.371,0.000
1738881650.890,-25.879,-44.434,-51.270,-23.926,0.000
1738881650.894,-17.090,-48.340,-51.270,-26.367,0.000
1738881650.898,-20.020,-51.270,-59.082,-14.648,0.000
1738881650.902,-27.832,-61.035,-60.547,-20.508,0.000
1738881650.906,-28.320,-62.500,-50.781,-9.277,0.000
1738881650.910,-35.156,-62.988,-47.852,-6.348,0.000
1738881650.914,-37.598,-64.941,-51.270,-9.277,0.000
